run_id,dataset,norm,policy,n_views,delta_accuracy,ci_low,ci_high,ci_excludes_zero,mcnemar_p,harm_rate,rescue_rate,mixed_delta_accuracy,ece,nll,brier,n_samples
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,batchnorm,geometric,25,-0.22291083566573378,-0.23270691723310677,-0.21341463414634143,True,0.0,0.35543228250575026,0.1519326444699579,-0.2975809676129548,0.2611704314576655,2.184678316116333,0.7175645232200623,10004
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,batchnorm,geometric,50,-0.22281087564974011,-0.2326069572171131,-0.21291483406637346,True,0.0,0.3558381815721824,0.15346345197091465,-0.2803878448620552,0.260555750066664,2.1781954765319824,0.7171627879142761,10004
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,batchnorm,intensity,25,-0.22081167532986812,-0.23010795681727314,-0.21121551379448222,True,0.0,0.33757272358273577,0.10945273631840796,-0.2975809676129548,0.05474376528025246,1.4682544469833374,0.6281288266181946,10004
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,batchnorm,intensity,50,-0.20691723310675736,-0.21611355457816872,-0.19782087165133955,True,0.0,0.3167365715058855,0.10371220818982013,-0.2803878448620552,0.07636997295690268,1.4388415813446045,0.6199250817298889,10004
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,batchnorm,geometric,25,-0.317672930827669,-0.3277688924430228,-0.3077768892443023,True,0.0,0.43380855397148677,0.10707635009310987,-0.5610755697720913,0.2970189994773785,2.3373217582702637,0.7924618124961853,10004
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,batchnorm,geometric,50,-0.31917233106757303,-0.3290708716513395,-0.3091763294682127,True,0.0,0.43609979633401225,0.1084729981378026,-0.5632746901239505,0.2979331508499296,2.3272693157196045,0.7919808030128479,10004
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,batchnorm,intensity,25,-0.28218712514994004,-0.29288284686125554,-0.271391443422631,True,0.0,0.41776985743380857,0.21368715083798884,-0.5610755697720913,0.07830396160536983,1.337152361869812,0.6351161599159241,10004
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,batchnorm,intensity,50,-0.26279488204718116,-0.27329068372650944,-0.25229908036785287,True,0.0,0.3921843177189409,0.21042830540037244,-0.5632746901239505,0.11144527145734028,1.3145617246627808,0.6251328587532043,10004
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,batchnorm,geometric,25,-0.4247301079568172,-0.4349260295881648,-0.41483156737305077,True,0.0,0.4993681792073521,0.07544264819091609,-0.605857656937225,0.3334730713159406,2.4478302001953125,0.820825457572937,10004
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,batchnorm,geometric,50,-0.4238304678128748,-0.43382646941223507,-0.41373450619752106,True,0.0,0.49821941412981047,0.07467282525019246,-0.6089564174330268,0.33210958908351124,2.401949882507324,0.8198236227035522,10004
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,batchnorm,intensity,25,-0.3147740903638544,-0.3250699720111955,-0.3047780887644942,True,0.0,0.3910396323951752,0.19630484988452657,-0.605857656937225,0.09717318802321256,1.2186554670333862,0.584496259689331,10004
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,batchnorm,intensity,50,-0.29838064774090356,-0.3085765693722511,-0.2882821871251499,True,0.0,0.37277426766226307,0.20015396458814472,-0.6089564174330268,0.12255565724858804,1.1934183835983276,0.5739104151725769,10004
