item_id,dataset,class,clean_png,aug_png
bloodmnist-1183-12,bloodmnist,neutrophil,views/bloodmnist-1183-12__clean.png,views/bloodmnist-1183-12__aug.png
pathmnist-4515-3,pathmnist,normal colon mucosa,views/pathmnist-4515-3__clean.png,views/pathmnist-4515-3__aug.png
bloodmnist-1559-1,bloodmnist,lymphocyte,views/bloodmnist-1559-1__clean.png,views/bloodmnist-1559-1__aug.png
bloodmnist-721-11,bloodmnist,neutrophil,views/bloodmnist-721-11__clean.png,views/bloodmnist-721-11__aug.png
bloodmnist-1324-10,bloodmnist,eosinophil,views/bloodmnist-1324-10__clean.png,views/bloodmnist-1324-10__aug.png
pathmnist-3702-6,pathmnist,normal colon mucosa,views/pathmnist-3702-6__clean.png,views/pathmnist-3702-6__aug.png
bloodmnist-1000-2,bloodmnist,eosinophil,views/bloodmnist-1000-2__clean.png,views/bloodmnist-1000-2__aug.png
pathmnist-8938-1,pathmnist,normal colon mucosa,views/pathmnist-8938-1__clean.png,views/pathmnist-8938-1__aug.png
dermamnist-428-14,dermamnist,melanoma,views/dermamnist-428-14__clean.png,views/dermamnist-428-14__aug.png
dermamnist-897-0,dermamnist,melanocytic nevi,views/dermamnist-897-0__clean.png,views/dermamnist-897-0__aug.png
dermamnist-668-0,dermamnist,melanoma,views/dermamnist-668-0__clean.png,views/dermamnist-668-0__aug.png
bloodmnist-479-9,bloodmnist,platelet,views/bloodmnist-479-9__clean.png,views/bloodmnist-479-9__aug.png
pathmnist-1173-3,pathmnist,background,views/pathmnist-1173-3__clean.png,views/pathmnist-1173-3__aug.png
dermamnist-99-3,dermamnist,melanocytic nevi,views/dermamnist-99-3__clean.png,views/dermamnist-99-3__aug.png
bloodmnist-336-2,bloodmnist,erythroblast,views/bloodmnist-336-2__clean.png,views/bloodmnist-336-2__aug.png
dermamnist-670-14,dermamnist,melanoma,views/dermamnist-670-14__clean.png,views/dermamnist-670-14__aug.png
dermamnist-91-5,dermamnist,melanocytic nevi,views/dermamnist-91-5__clean.png,views/dermamnist-91-5__aug.png
bloodmnist-778-9,bloodmnist,lymphocyte,views/bloodmnist-778-9__clean.png,views/bloodmnist-778-9__aug.png
dermamnist-694-6,dermamnist,melanocytic nevi,views/dermamnist-694-6__clean.png,views/dermamnist-694-6__aug.png
bloodmnist-1091-0,bloodmnist,neutrophil,views/bloodmnist-1091-0__clean.png,views/bloodmnist-1091-0__aug.png
pathmnist-6556-4,pathmnist,colorectal adenocarcinoma epithelium,views/pathmnist-6556-4__clean.png,views/pathmnist-6556-4__aug.png
dermamnist-136-10,dermamnist,melanocytic nevi,views/dermamnist-136-10__clean.png,views/dermamnist-136-10__aug.png
bloodmnist-140-3,bloodmnist,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",views/bloodmnist-140-3__clean.png,views/bloodmnist-140-3__aug.png
bloodmnist-1239-13,bloodmnist,monocyte,views/bloodmnist-1239-13__clean.png,views/bloodmnist-1239-13__aug.png
pathmnist-7567-5,pathmnist,cancer-associated stroma,views/pathmnist-7567-5__clean.png,views/pathmnist-7567-5__aug.png
dermamnist-488-1,dermamnist,melanocytic nevi,views/dermamnist-488-1__clean.png,views/dermamnist-488-1__aug.png
bloodmnist-510-8,bloodmnist,eosinophil,views/bloodmnist-510-8__clean.png,views/bloodmnist-510-8__aug.png
pathmnist-3939-13,pathmnist,debris,views/pathmnist-3939-13__clean.png,views/pathmnist-3939-13__aug.png
dermamnist-934-15,dermamnist,melanocytic nevi,views/dermamnist-934-15__clean.png,views/dermamnist-934-15__aug.png
pathmnist-2803-13,pathmnist,adipose,views/pathmnist-2803-13__clean.png,views/pathmnist-2803-13__aug.png
pathmnist-4515-12,pathmnist,normal colon mucosa,views/pathmnist-4515-12__clean.png,views/pathmnist-4515-12__aug.png
