dataset,sample_index,view_index,class,hflip,vflip,angle_deg,crop_x0,crop_y0,crop_x1,crop_y1,brightness_factor,contrast_factor,blur_sigma,crop_area_retained,center_retained,foreground_retained,intensity_shift,automated_preserved
pathmnist,3,0,cancer-associated stroma,True,False,-14.010590553283691,0.0,1.0,26.0,26.0,0.8665895462036133,1.2630348205566406,1.0950582027435303,0.8290816326530612,1.0,,0.39644527435302734,True
pathmnist,3,1,cancer-associated stroma,True,True,-14.013544082641602,1.0,3.0,27.0,27.0,0.965643048286438,0.9634612798690796,0.9634717106819153,0.7959183673469388,0.9996,,0.07089567184448242,True
pathmnist,3,2,cancer-associated stroma,True,False,3.4185047149658203,0.0,0.0,23.0,25.0,0.780552864074707,1.0607855319976807,0.297244131565094,0.7334183673469388,1.0,,0.28023266792297363,True
pathmnist,3,3,cancer-associated stroma,True,True,-13.303411483764648,1.0,1.0,27.0,26.0,1.0549054145812988,1.1495399475097656,0.0,0.8290816326530612,1.0,,0.20444536209106445,True
pathmnist,3,4,cancer-associated stroma,False,False,9.827476501464844,0.0,0.0,26.0,23.0,0.7715249061584473,1.1560485363006592,1.696304202079773,0.7627551020408163,0.9904,,0.3845236301422119,True
pathmnist,3,5,cancer-associated stroma,True,False,5.703083038330078,0.0,3.0,26.0,27.0,0.7663777470588684,0.9124125242233276,0.0,0.7959183673469388,1.0,,0.32120972871780396,True
pathmnist,3,6,cancer-associated stroma,False,True,2.3562088012695312,1.0,2.0,27.0,25.0,1.29707932472229,0.9094677567481995,0.0,0.7627551020408163,1.0,,0.3876115679740906,True
pathmnist,3,7,cancer-associated stroma,False,True,14.760089874267578,0.0,0.0,25.0,26.0,0.9274722933769226,0.8973941802978516,0.0,0.8290816326530612,1.0,,0.17513352632522583,True
pathmnist,3,8,cancer-associated stroma,False,True,-10.548761367797852,0.0,1.0,26.0,25.0,1.1645987033843994,0.8622268438339233,0.3321203291416168,0.7959183673469388,1.0,,0.3023718595504761,True
pathmnist,3,9,cancer-associated stroma,False,False,-5.18715763092041,3.0,0.0,26.0,26.0,1.1250618696212769,1.0759440660476685,0.0,0.7627551020408163,1.0,,0.2010059356689453,True
pathmnist,3,10,cancer-associated stroma,True,True,14.49129867553711,3.0,1.0,26.0,26.0,1.187301516532898,0.8952658176422119,1.3458175659179688,0.7334183673469388,0.9992,,0.29203569889068604,True
pathmnist,3,11,cancer-associated stroma,True,False,-13.217523574829102,1.0,2.0,26.0,27.0,1.2314563989639282,1.2019819021224976,0.0,0.7971938775510204,1.0,,0.4334383010864258,True
pathmnist,3,12,cancer-associated stroma,False,True,6.805946350097656,0.0,0.0,26.0,25.0,0.9261897802352905,0.9749438762664795,1.99884033203125,0.8290816326530612,1.0,,0.09886634349822998,True
pathmnist,3,13,cancer-associated stroma,False,False,-14.478862762451172,1.0,2.0,26.0,25.0,1.2813701629638672,0.8648315072059631,1.8238821029663086,0.7334183673469388,1.0,,0.41653865575790405,True
