confirmatory,run_id,attempt_id,block,config_hash,protocol_commit,dataset,model,resolution,normalization,training_policy,seed,split,status,checkpoint_hash,started_at,ended_at,runtime_seconds,failure_reason,validation_metrics_observed,test_metrics_observed
True,A-pathmnist-28px-batchnorm-policy-none-s0,1,A_core_normalization_resolution,03154180ddda338c2b893d9938a45e21a0035884ea7a04e317392e54caab3059,ce4c962,pathmnist,small_cnn,28,batchnorm,none,0,validation,completed,30bc1ca6ef364e2a8280d4f5d9df5c6860d839e92e8a619e979dd20dbd804b3e,1787016752.623571,1787016828.5673192,75.94374823570251,,True,False
True,A-pathmnist-28px-batchnorm-policy-none-s0,2,A_core_normalization_resolution,03154180ddda338c2b893d9938a45e21a0035884ea7a04e317392e54caab3059,ce4c962,pathmnist,small_cnn,28,batchnorm,none,0,validation,failed,,1787019624.106598,1787019700.070153,75.96355509757996,"Expected all tensors to be on the same device, but found at least two devices, mps:0 and cpu!",False,False
True,A-pathmnist-28px-batchnorm-policy-none-s0,3,A_core_normalization_resolution,03154180ddda338c2b893d9938a45e21a0035884ea7a04e317392e54caab3059,ce4c962,pathmnist,small_cnn,28,batchnorm,none,0,validation,completed,30bc1ca6ef364e2a8280d4f5d9df5c6860d839e92e8a619e979dd20dbd804b3e,1787020418.885462,1787020494.54256,75.65709805488586,,True,False
True,A-pathmnist-28px-batchnorm-policy-none-s0,4,A_core_normalization_resolution,03154180ddda338c2b893d9938a45e21a0035884ea7a04e317392e54caab3059,ce4c962,pathmnist,small_cnn,28,batchnorm,none,0,validation,completed,30bc1ca6ef364e2a8280d4f5d9df5c6860d839e92e8a619e979dd20dbd804b3e,1787020534.221334,1787020610.516691,76.29535698890686,,True,False
True,A-pathmnist-28px-batchnorm-policy-none-s1,1,A_core_normalization_resolution,5514375882cf7fd5d534ec32480b4fec980f4d515a5c44901c984f928c521af0,ce4c962,pathmnist,small_cnn,28,batchnorm,none,1,validation,completed,f3be88438078ce362528dc8c3919e7d395fb095902cca48159c861b6e308e6bf,1787022556.299241,1787022622.7567139,66.4574728012085,,True,False
True,A-pathmnist-28px-batchnorm-policy-none-s2,1,A_core_normalization_resolution,99fb32ca1f31522e701edfb0056806f5ec5d4ee18e79dcdc4f547cf9a51346e8,ce4c962,pathmnist,small_cnn,28,batchnorm,none,2,validation,completed,b8b971407b6b149d8e64e4bf55ec87f95a753cad5256aa5f3a57d419145d9c06,1787022624.5635462,1787022729.88858,105.32503390312195,,True,False
True,A-pathmnist-28px-groupnorm-policy-none-s0,1,A_core_normalization_resolution,9126fc50641b68f123e7d3612ee868a0c9f5ab73a3797b462c5aff1bf7a28c41,ce4c962,pathmnist,small_cnn,28,groupnorm,none,0,validation,completed,fcf6a2f41c136cadc012bab8726249062ed1a16290a98504b65903a96c234e98,1787022731.6940422,1787022895.682407,163.98836469650269,,True,False
True,A-pathmnist-28px-groupnorm-policy-none-s1,2,A_core_normalization_resolution,7e2f42bb6ed7500a95840e979d4de247a9cdc6aa20636352941061e216d5fe58,ce4c962,pathmnist,small_cnn,28,groupnorm,none,1,validation,completed,b63d8c9b9a38b3520f5aeb971a4afb60d760a7bffc707a63ce6c344abe5a4650,1787023299.391535,1787023576.335745,276.94421005249023,,True,False
True,A-pathmnist-28px-groupnorm-policy-none-s2,1,A_core_normalization_resolution,21919a4eb109740f5a6bad5bf3c028f562d11e46a00ffdad730d6ac344ed13e8,ce4c962,pathmnist,small_cnn,28,groupnorm,none,2,validation,completed,483eaa5957f570981a43933d3985b714b56911abc75ccbdebf5db8c6cdc9cdd3,1787023578.131567,1787023853.751926,275.6203589439392,,True,False
True,A-pathmnist-64px-batchnorm-policy-none-s0,1,A_core_normalization_resolution,a7742ecd021e6aa175d5340fe47cfc5eea523ecc49ed88940a70d7f8507ec57f,ce4c962,pathmnist,small_cnn,64,batchnorm,none,0,validation,completed,b5dea833b8985d7bf38e4092e5400a03452b0ec55a79ec7e52edd0091e6b3b54,1787023862.7071831,1787024255.793869,393.0866858959198,,True,False
True,A-pathmnist-64px-batchnorm-policy-none-s1,1,A_core_normalization_resolution,adac37c548993078e3db763a2ac09307a52538077121b118d7b26f3ab09c9ed7,ce4c962,pathmnist,small_cnn,64,batchnorm,none,1,validation,completed,b898155b2c6ab101ca2940f30bceff8a23a7f67ef9adc56d7c07ab2275831c8e,1787024264.667087,1787024768.524373,503.8572859764099,,True,False
True,A-pathmnist-64px-batchnorm-policy-none-s2,1,A_core_normalization_resolution,3673143ee07b16b98f56699bd5e47091d6dd655f92a8df3d9a43b9b2fd875dd9,ce4c962,pathmnist,small_cnn,64,batchnorm,none,2,validation,completed,39950a5ac56c50aeee11d3a6ca879baabfcc19506ce041f046fbff10243fe293,1787024777.58071,1787025339.250164,561.6694540977478,,True,False
True,A-pathmnist-64px-groupnorm-policy-none-s0,1,A_core_normalization_resolution,0fa154f4935a80cd44b508ea9f86f565737d8c7c87adcff3f4130fd19a3b3e92,ce4c962,pathmnist,small_cnn,64,groupnorm,none,0,validation,completed,d54b5cd32b64882bc11030992db97ce57973df2078e37317871d1c66c92e484b,1787025348.2841759,1787026302.369756,954.0855801105499,,True,False
True,A-pathmnist-64px-groupnorm-policy-none-s1,1,A_core_normalization_resolution,d8eacd96b5541de1e3a4a72c563f660925683bc777e250a63df8026afe0db247,ce4c962,pathmnist,small_cnn,64,groupnorm,none,1,validation,completed,ebfef2c0e60ae1ee1095f6c47afd6dbad3c7abc2c32ebc5f21e502a9f33ee44e,1787026311.430581,1787033652.168472,7340.737890958786,,True,False
True,A-pathmnist-64px-groupnorm-policy-none-s2,2,A_core_normalization_resolution,2f237adf5539ef895728e7be0da7013de8fc8094cf272196e85d49faf9d25159,ce4c962,pathmnist,small_cnn,64,groupnorm,none,2,validation,completed,92c8739bfc1063b03782514c7c2b259cb3014ea5f0262f64e138be29e8c1ecd2,1787057301.221015,1787059715.4194229,2414.1984078884125,,True,False
True,A-bloodmnist-28px-batchnorm-policy-none-s0,1,A_core_normalization_resolution,a3956cbb9ddfa42abda309dc87a83e96aa7beab31a4900d7c169211cbd373a7b,ce4c962,bloodmnist,small_cnn,28,batchnorm,none,0,validation,completed,e96e3b5615c71fba0fd05d21439c3d2a551ddba00985dbcc0b8affcfda5c519f,1787059715.8420632,1787059732.128012,16.285948753356934,,True,False
True,A-bloodmnist-28px-batchnorm-policy-none-s1,1,A_core_normalization_resolution,d7d47f3c29f1cde19bbb50ee7eac314e24c21f09bf9e38dcc7bb4ca0f93b31e6,ce4c962,bloodmnist,small_cnn,28,batchnorm,none,1,validation,completed,1448dad9629f956c195e301dabe42047502ccf2981d6f4f3154f5994a35da98f,1787059732.492398,1787059748.057577,15.565178871154785,,True,False
True,A-bloodmnist-28px-batchnorm-policy-none-s2,1,A_core_normalization_resolution,fc609e4e7129d4b824b1cd74e625be3f2dc4a486d48ad3a9b2dced342f64681e,ce4c962,bloodmnist,small_cnn,28,batchnorm,none,2,validation,completed,552c975c860585e9b57298d2e1fd3550420b9ad696066d2fe7bef49401a235f0,1787059748.4117079,1787059786.638429,38.2267210483551,,True,False
True,A-bloodmnist-28px-groupnorm-policy-none-s0,1,A_core_normalization_resolution,6c41c1a89686e96104924be5177f90159448776fccc280c2347442751f838abc,ce4c962,bloodmnist,small_cnn,28,groupnorm,none,0,validation,completed,cd804a09e799f7d89c1e98dad10a63a953a9a5204d98d5fa4c5677b7937765bd,1787059786.990129,1787059823.586165,36.596035957336426,,True,False
True,A-bloodmnist-28px-groupnorm-policy-none-s1,1,A_core_normalization_resolution,c0288e709e932d25bc174766a92737b5d36eca0070023af6d436db12c64012a4,ce4c962,bloodmnist,small_cnn,28,groupnorm,none,1,validation,completed,d914f4ecd0d597b9cc422dd7e5b07413c900eaa084b0f0992575010dfd899928,1787059823.938853,1787059860.546963,36.60810995101929,,True,False
True,A-bloodmnist-28px-groupnorm-policy-none-s2,1,A_core_normalization_resolution,94a370ccdef5d518ae15ba2a0ba7d2ef6857c2b712d5376a27489e8c92ba26ee,ce4c962,bloodmnist,small_cnn,28,groupnorm,none,2,validation,completed,34a1b18158c3572f281035592f8a3af33eb2baa11055aa9a8c2e6a60d495741d,1787059860.889533,1787059897.51742,36.62788701057434,,True,False
True,A-bloodmnist-64px-batchnorm-policy-none-s0,1,A_core_normalization_resolution,67c9dfd20fe38e56c07e8dfd5f483efc4cca5719a4f3681ae1ab1e3a0c565da6,ce4c962,bloodmnist,small_cnn,64,batchnorm,none,0,validation,completed,8572b19b0cb24b9c46ae07a1114eaa65ddad7690826265fe3af8984b2d0b6235,1787059898.827627,1787059938.674897,39.847270011901855,,True,False
True,A-bloodmnist-64px-batchnorm-policy-none-s1,1,A_core_normalization_resolution,d9097eb9e2fdbe83575fa4c14df5f9332ca37e25b44cd3f91ade80b1c843d9d3,ce4c962,bloodmnist,small_cnn,64,batchnorm,none,1,validation,completed,ff75298a2d1733dd1e43dd60d90a74a51450f80704c1e648e41eabf9ba7f4017,1787059940.02704,1787059983.745108,43.71806788444519,,True,False
True,A-bloodmnist-64px-batchnorm-policy-none-s2,1,A_core_normalization_resolution,81bea06a8285de4af30de6d8b08bb801d3f268438169b0874b31a8becb09959b,ce4c962,bloodmnist,small_cnn,64,batchnorm,none,2,validation,completed,b2e83aa7e85050f6c3743c9e0a269428b3e1795d369a622328eb5b5e2abe2869,1787059985.093994,1787060020.199019,35.10502505302429,,True,False
True,A-bloodmnist-64px-groupnorm-policy-none-s0,1,A_core_normalization_resolution,015747094b4b0c7e10e57ae630841576868b5c2e74c6402912093ce287d6fd4b,ce4c962,bloodmnist,small_cnn,64,groupnorm,none,0,validation,completed,6dc1eb925bf71525353ddec56ac41b78e4d3e04b761ad47fb13ca5ae8d1443b0,1787060021.5405388,1787060143.4273129,121.88677406311035,,True,False
True,A-bloodmnist-64px-groupnorm-policy-none-s1,1,A_core_normalization_resolution,7b49f63c5aa91bc1fdc48443f902a1000c02e4616e5cf139489a1c5a08999093,ce4c962,bloodmnist,small_cnn,64,groupnorm,none,1,validation,completed,2278d9cfd09a165210e53528eaa0f8567dba6b7303c0f5b21a09a20a652ec98b,1787060144.765454,1787060271.016789,126.25133490562439,,True,False
True,A-bloodmnist-64px-groupnorm-policy-none-s2,1,A_core_normalization_resolution,db8654dfc5e624b28fe889a4cf838c0f595fbce8aa5d4a4f41950be1029592ac,ce4c962,bloodmnist,small_cnn,64,groupnorm,none,2,validation,completed,9cbeb71c38c6d50873d5972ced6ca962cc1f38cde2bd080362351dd06df20fd9,1787060272.3604748,1787060398.699161,126.33868622779846,,True,False
True,A-pathmnist-28px-groupnorm-policy-none-s1,1,A_core_normalization_resolution,7e2f42bb6ed7500a95840e979d4de247a9cdc6aa20636352941061e216d5fe58,ce4c962,pathmnist,small_cnn,28,groupnorm,none,1,validation,aborted,,1787022897.467121,,,"process externally terminated (Bash tool 10-minute timeout killed the invoking session) while this attempt was mid-training; status.json was never updated past 'running' and no checkpoint/history/result/metadata artifacts were ever written for this attempt; ended_at and runtime are genuinely unknown, not merely unrecorded",False,False
True,A-pathmnist-64px-groupnorm-policy-none-s2,1,A_core_normalization_resolution,2f237adf5539ef895728e7be0da7013de8fc8094cf272196e85d49faf9d25159,ce4c962,pathmnist,small_cnn,64,groupnorm,none,2,validation,aborted,,1787034414.4075708,,,"process externally terminated (background training process killed by operator decision, per session record) while this attempt was mid-training; status.json was never updated past 'running' and no checkpoint/history/result/metadata artifacts were ever written for this attempt; ended_at and runtime are genuinely unknown, not merely unrecorded",False,False
True,B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,1,B_policy_matching,35e38266634d4aa985e25c92c4c813159df8e6edfbea63f4b074f48e5f73b810,ce4c962,pathmnist,small_cnn,28,batchnorm,matched_to_approved_tta_policy,0,validation,completed,f9d06b302a5a0a737e0476a01fa88cb1c309243f862de0f8f1a45e37ec88c47f,1787061915.879371,1787062046.745364,130.8659930229187,,True,False
True,B-pathmnist-28px-batchnorm-policy-matched_mixed-s1,1,B_policy_matching,72cc68f764fd3c14c10d9690ae8818f814c09d1e17e0a0b40f85d8e5e633c802,ce4c962,pathmnist,small_cnn,28,batchnorm,matched_to_approved_tta_policy,1,validation,completed,d8e1b91d421fd3c78a81d06bc736fb76da1b71a4d2b500afacc721798705343f,1787062330.594891,1787062975.622669,645.0277779102325,,True,False
True,B-pathmnist-28px-batchnorm-policy-matched_mixed-s2,1,B_policy_matching,fe91da1ed74b62cbf8fd410fe575248caf0659cf9a3b3890ae5adf0354601433,ce4c962,pathmnist,small_cnn,28,batchnorm,matched_to_approved_tta_policy,2,validation,completed,44263c3e3db4a82d5fe7af30eb9b10f6e9dfb927783a3a6a7a32ee2250a43a71,1787063010.5906172,1787063272.0002282,261.4096109867096,,True,False
