run_id,dataset,n_views,majority_vote_delta,confidence_weighted_average_delta,mean_probability_delta
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,1,-0.4443145279158141,-0.4443145279158141,-0.4443145279158141
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,2,-0.5071616486407483,-0.4408067816427945,-0.43671441099093833
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,5,-0.40456007015492546,-0.38497515346389943,-0.3653902367728734
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,10,-0.35983630517392573,-0.35691318327974275,-0.334697456883952
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,25,-0.32008184741303713,-0.3420052616194096,-0.3116047939199065
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,50,-0.2978661210172464,-0.3361590178310435,-0.30108155510084766
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,100,-0.2797427652733119,-0.32768196433791286,-0.28821981876644254
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,1,-0.4796843028354283,-0.4796843028354283,-0.4796843028354283
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,2,-0.5308389359836305,-0.43846828412744815,-0.43583747442268345
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,5,-0.4276527331189711,-0.38614440222157265,-0.3829289681379714
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,10,-0.38205203156971645,-0.3534054370067232,-0.3525285004384683
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,25,-0.3615901783104356,-0.34112832505115465,-0.34522069570301084
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,50,-0.34229757380882786,-0.3364513300204619,-0.3349897690733704
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,100,-0.33031277404267756,-0.3349897690733704,-0.3314820228003508
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,1,-0.5530546623794212,-0.5530546623794212,-0.5530546623794212
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,2,-0.5641625255773166,-0.5182695118386437,-0.521484945922245
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,5,-0.5150540777550424,-0.49605378544285295,-0.5007307804735457
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,10,-0.48494592224495764,-0.48436129786612103,-0.4893306050862321
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,25,-0.4826074247296112,-0.48640748319204913,-0.4922537269804151
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,50,-0.48436129786612103,-0.4861151710026308,-0.4922537269804151
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,100,-0.4861151710026308,-0.4904998538439053,-0.49605378544285295
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,1,-0.369774919614148,-0.369774919614148,-0.369774919614148
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,2,-0.36509792458345514,-0.31628178895059933,-0.31482022800350784
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,5,-0.2686349020754166,-0.2546039169833383,-0.25372698041508335
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,10,-0.24320374159602465,-0.23355743934522077,-0.2253726980415084
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,25,-0.22098801520023392,-0.21134171294943005,-0.21251096170710326
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,50,-0.21397252265419475,-0.2081262788658288,-0.20695703010815558
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,100,-0.20754165448699213,-0.20315697164571767,-0.20432622040339088
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,1,-0.3881905875475007,-0.3881905875475007,-0.3881905875475007
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,2,-0.38731365097924586,-0.32534346682256643,-0.32505115463314815
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,5,-0.30137386729026594,-0.2844197603040046,-0.28295819935691313
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,10,-0.2809120140309851,-0.26425021923414205,-0.26425021923414205
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,25,-0.2528500438468284,-0.24320374159602454,-0.24437299035369775
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,50,-0.24466530254311603,-0.23560362467114881,-0.23677287342882192
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,100,-0.24174218064893305,-0.23063431745103768,-0.23268050277696573
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,1,-0.3855597778427361,-0.3855597778427361,-0.3855597778427361
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,2,-0.38614440222157265,-0.32797427652733124,-0.3273896521484946
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,5,-0.3016661794796843,-0.28295819935691324,-0.28412744811458646
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,10,-0.2820812627886583,-0.2674656533177434,-0.26717334112832514
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,25,-0.2598655363928676,-0.2546039169833383,-0.25781935106693954
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,50,-0.2610347851505408,-0.2519731072785736,-0.2557731657410114
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,100,-0.2566501023092663,-0.2502192341420637,-0.25752703887752126
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,1,-0.5632855890090617,-0.5632855890090617,-0.5632855890090617
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,2,-0.6220403390821396,-0.5618240280619702,-0.5624086524408067
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,5,-0.555685472084186,-0.5328851213095586,-0.5238234434375914
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,10,-0.5390236772873429,-0.5337620578778135,-0.5229465068693364
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,25,-0.5179771996492253,-0.5346389944460683,-0.5109617071031862
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,50,-0.5203156971645717,-0.5358082432037417,-0.5150540777550423
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,100,-0.5244080678164279,-0.5457468576439637,-0.5238234434375914
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,1,-0.6410406313943291,-0.6410406313943291,-0.6410406313943291
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,2,-0.7266881028938906,-0.6559485530546624,-0.6541946799181526
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,5,-0.6717334112832505,-0.6547793042969892,-0.6425021923414207
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,10,-0.6626717334112833,-0.6553639286758257,-0.6439637532885121
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,25,-0.6632563577901198,-0.6708564747149957,-0.655656240865244
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,50,-0.6536100555393161,-0.6784565916398714,-0.6609178602747734
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,100,-0.6629640456007015,-0.6851797719964923,-0.6679333528208127
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,1,-0.557731657410114,-0.557731657410114,-0.557731657410114
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,2,-0.6436714410990938,-0.5460391698333821,-0.5457468576439637
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,5,-0.5384390529085064,-0.515638702133879,-0.5024846536100556
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,10,-0.4983922829581994,-0.512715580239696,-0.4969307220111079
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,25,-0.4717918737211342,-0.5024846536100556,-0.4904998538439053
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,50,-0.4682841274481146,-0.5103770827243497,-0.49108447822274187
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,100,-0.4662379421221865,-0.5109617071031862,-0.4948845366851798
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,1,-0.509792458345513,-0.509792458345513,-0.509792458345513
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,2,-0.582285881321251,-0.48494592224495764,-0.48436129786612103
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,5,-0.5045308389359836,-0.47062262496346097,-0.46799181525869626
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,10,-0.49108447822274187,-0.4717918737211342,-0.4712072493422976
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,25,-0.4758842443729904,-0.4688687518269512,-0.4668225665010231
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,50,-0.47529961999415377,-0.4717918737211342,-0.4717918737211342
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,100,-0.47003800058462436,-0.46857643963753287,-0.467699503069278
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,1,-0.4606840105232388,-0.4606840105232388,-0.4606840105232388
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,2,-0.5320081847413037,-0.4200526161940953,-0.42297573808827826
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,5,-0.44986845951476173,-0.4066062554808536,-0.41508330897398427
