run_id,dataset,n_views,anchored_delta_accuracy,anchored_harm_rate,anchored_rescue_rate,anchored_accuracy
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,1,-0.13592516807950894,0.18315018315018314,0.20334928229665072,0.7418883367436422
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,2,-0.1882490499853844,0.25274725274725274,0.2751196172248804,0.6895644548377667
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,5,-0.24612686349020751,0.32367632367632365,0.31100478468899523,0.6316866413329436
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,10,-0.25109617071031864,0.32667332667332666,0.291866028708134,0.6267173341128325
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,25,-0.27448114586378247,0.35064935064935066,0.2727272727272727,0.6033323589593687
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,50,-0.2861736334405145,0.36363636363636365,0.2703349282296651,0.5916398713826366
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,100,-0.2797427652733119,0.3573093573093573,0.27751196172248804,0.5980707395498392
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,1,-0.07629348143817605,0.1079857743291303,0.2225609756097561,0.827828120432622
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,2,-0.16515638702133884,0.21144519883608148,0.27134146341463417,0.7389652148494592
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,5,-0.25343466822566507,0.31037827352085356,0.28353658536585363,0.650686933645133
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,10,-0.27097339959076294,0.3359198189460071,0.34146341463414637,0.6331482022800351
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,25,-0.3083893598363052,0.3763336566440349,0.3323170731707317,0.5957322420344928
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,50,-0.31452791581408945,0.3850630455868089,0.35060975609756095,0.5895936860567086
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,100,-0.3215434083601286,0.39217588102166184,0.3445121951219512,0.5825781935106694
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,1,-0.11604793919906464,0.13406795224977044,0.2662337662337662,0.8389359836305174
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,2,-0.29231218941829873,0.3210896847260484,0.3181818181818182,0.6626717334112833
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,5,-0.3785442852966969,0.4132231404958678,0.35714285714285715,0.5764396375328851
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,10,-0.42472961122478803,0.46219773492500765,0.37012987012987014,0.530254311604794
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,25,-0.4633148202280035,0.5035200489745945,0.38961038961038963,0.4916691026015785
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,50,-0.47208418591055246,0.5127027854300582,0.38961038961038963,0.48289973691902954
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,100,-0.4878690441391406,0.5292317110498929,0.38961038961038963,0.4671148786904414
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,1,-0.048231511254019366,0.06869510664993726,0.2317596566523605,0.8836597486115171
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,2,-0.10757088570593398,0.1355081555834379,0.27467811158798283,0.8243203741596025
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,5,-0.17392575270388777,0.20922208281053953,0.3090128755364807,0.7579655071616487
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,10,-0.18649517684887462,0.22302383939774154,0.3133047210300429,0.7453960830166618
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,25,-0.19058754750073081,0.2302383939774153,0.351931330472103,0.7413037123648056
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,50,-0.19672610347851516,0.2371392722710163,0.3562231759656652,0.7351651563870213
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,100,-0.1987722888044432,0.2396486825595985,0.3605150214592275,0.7331189710610932
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,1,-0.04413914060216306,0.06515580736543909,0.22950819672131148,0.884536685179772
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,2,-0.10903244665302536,0.14038401007239534,0.29918032786885246,0.8196433791289097
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,5,-0.1841566793335282,0.22253698457664464,0.3155737704918033,0.7445191464484069
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,10,-0.21309558608593981,0.2552722694365754,0.3360655737704918,0.7155802396959953
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,25,-0.22332651271558024,0.26786276361347183,0.35655737704918034,0.7053493130663548
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,50,-0.22537269804150828,0.2694365753855839,0.3483606557377049,0.7033031277404268
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,100,-0.22624963460976322,0.2719546742209632,0.36885245901639346,0.7024261911721719
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,1,-0.046185325928091214,0.0670886075949367,0.20689655172413793,0.8775211926337328
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,2,-0.12043262204033911,0.15379746835443037,0.2835249042145594,0.803273896521485
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,5,-0.1935106693949138,0.23575949367088608,0.31800766283524906,0.7301958491669103
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,10,-0.2160187079801228,0.260126582278481,0.31800766283524906,0.7076878105817013
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,25,-0.23911137094416846,0.28607594936708863,0.32950191570881227,0.6845951476176556
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,50,-0.2464191756796259,0.2955696202531646,0.3486590038314176,0.6772873428821982
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,100,-0.24992692195264543,0.29968354430379746,0.3524904214559387,0.6737795966091786
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,1,-0.250511546331482,0.2991480996068152,0.15176151761517614,0.6416252557731658
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,2,-0.29318912598655367,0.3492791612057667,0.17073170731707318,0.5989476761180941
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,5,-0.374744226834259,0.44036697247706424,0.16802168021680217,0.5173925752703887
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,10,-0.4191756796258404,0.4898427260812582,0.16531165311653118,0.47296112247880734
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,25,-0.47033031277404264,0.5471821756225426,0.16531165311653118,0.4218064893306051
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,50,-0.49400760011692485,0.5730668414154653,0.15989159891598917,0.3981292019877229
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,100,-0.5103770827243496,0.5901048492791612,0.14905149051490515,0.3817597193802982
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,1,-0.30809704764688683,0.352922286448298,0.1465798045602606,0.6021631102016954
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,2,-0.36509792458345514,0.4177906229929351,0.16938110749185667,0.5451622332651271
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,5,-0.4878690441391406,0.5494540783558125,0.13680781758957655,0.42239111370944166
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,10,-0.5480853551593101,0.6152858060372511,0.13355048859934854,0.36217480268927216
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,25,-0.6138555977784274,0.6840077071290944,0.09771986970684039,0.2964045600701549
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,50,-0.6413329435837474,0.710019267822736,0.05537459283387622,0.26892721426483485
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,100,-0.659456299327682,0.7302504816955684,0.05863192182410423,0.2508038585209003
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,1,-0.21104940076001166,0.24367595260967018,0.13087248322147652,0.7018415667933353
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,2,-0.26308097047646883,0.30099263528658343,0.1342281879194631,0.6498099970768781
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,5,-0.35135925168079507,0.39929554915145693,0.15100671140939598,0.5615317158725519
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,10,-0.40982168956445486,0.4610951008645533,0.12751677852348994,0.5030692779888921
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,25,-0.45103770827243495,0.5059237912263849,0.12416107382550336,0.46185325928091203
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,50,-0.4703303127740427,0.5273775216138329,0.12751677852348994,0.4425606547793043
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,100,-0.4878690441391406,0.5456292026897214,0.1174496644295302,0.42502192341420636
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,1,-0.08623209587839809,0.0961245041196216,0.1388888888888889,0.8716749488453669
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,2,-0.22478807366267173,0.24107415318889228,0.14583333333333334,0.7331189710610932
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,5,-0.3645133002046186,0.3878547451937748,0.16666666666666666,0.5933937445191464
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,10,-0.4147909967845659,0.43973146170277694,0.1527777777777778,0.5431160479391991
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,25,-0.4463607132417422,0.47146780592004883,0.125,0.5115463314820228
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,50,-0.46039169833382054,0.4864205065608789,0.13194444444444445,0.49751534638994444
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,100,-0.4636071324174218,0.4891669209642966,0.11805555555555555,0.4942999123063432
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,1,-0.06957030108155515,0.08369098712446352,0.22012578616352202,0.8839520608009354
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,2,-0.19584916691026022,0.2173513182096873,0.24528301886792453,0.7576731949722303
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,5,-0.28120432622040337,0.30870631514408337,0.2830188679245283,0.6723180356620871
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,10,-0.32505115463314826,0.3559166155732679,0.3081761006289308,0.6284712072493422
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,25,-0.3618824904998539,0.3930104230533415,0.27672955974842767,0.5916398713826366
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,50,-0.37269804150833086,0.404659717964439,0.2830188679245283,0.5808243203741597
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,100,-0.3800058462437884,0.41232372777437154,0.2830188679245283,0.5735165156387021
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,1,-0.08389359836305177,0.09038519866545344,0.08870967741935484,0.8798596901490792
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,2,-0.26805027769657996,0.2823779193205945,0.11290322580645161,0.695703010815551
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,5,-0.41274481145863784,0.4322111010009099,0.10483870967741936,0.5510084770534931
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,10,-0.481438175971938,0.5031847133757962,0.0967741935483871,0.48231511254019294
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,25,-0.5369774919614148,0.5608128601759175,0.0967741935483871,0.4267757965507162
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,50,-0.5562700964630225,0.5808310585380649,0.0967741935483871,0.40748319204910843
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,100,-0.5670856474714996,0.592053381862299,0.0967741935483871,0.3966676410406314
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,1,-0.08509749303621172,0.14571629213483145,0.14757412398921832,0.708217270194986
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,2,-0.13969359331476328,0.21822331460674158,0.16172506738544473,0.6536211699164345
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,5,-0.16587743732590532,0.25298455056179775,0.16846361185983827,0.6274373259052924
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,10,-0.1722841225626741,0.26422050561797755,0.18059299191374664,0.6210306406685236
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,25,-0.17172701949860725,0.26492275280898875,0.18598382749326145,0.6215877437325905
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,50,-0.17214484679665742,0.26825842696629215,0.1967654986522911,0.6211699164345403
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,100,-0.17479108635097496,0.27422752808988765,0.2068733153638814,0.6185236768802228
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,1,-0.16337047353760437,0.25793432397725186,0.13475997686524002,0.5958217270194986
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,2,-0.23328690807799435,0.35956705191707944,0.16483516483516483,0.5259052924791087
